area,theme,topic,learning_objective
Domain Applications,Epidemiology,Epidemiology,Describe research advances relevant to the use of GIS in epidemiology.
Domain Applications,Epidemiology,Epidemiology,Discuss issues and research challenges in epidemiologic studies using GIS.
Domain Applications,Epidemiology,Epidemiology,Discuss the implications of geographic data availability in epidemiology.
Domain Applications,Epidemiology,Epidemiology,Discuss the importance of GIS in epidemiology.
Domain Applications,Epidemiology,Epidemiology,Explain how GIS has been used in exposure assessment and exposure modeling.
Domain Applications,Facilities Management,Facilities Management,
Domain Applications,Forestry,Forestry,"Create a functional, multi-table database with proper primary and foreign keys and relevant attributes, e.g., inventory and harvest tables that may be joined to stand tables."
Domain Applications,Forestry,Forestry,"Create accurate point, line, and polygon feature data using GNSS alone, from field data collection, through data transfer, quality control, conversion, projection, and attribute creation. Moreover, the student should be able to explain the primary factors that affect accuracy, including satellite constellation configuration and PDOP, multi-system receivers, point averaging, signal interception, and multi-path errors, and how these may be avoided or their impacts minimized to achieve high accuracies."
Domain Applications,Forestry,Forestry,"Create and implement all workflows for field data collection, from developing field spatial and attribute data needs, designing and creating electronic field forms with pick lists and error trapping as appropriate, through upload, collection, download, quality control, intermediate processing, and integration into office spatial databases."
Domain Applications,Forestry,Forestry,"Demonstrate basic skills in digital cartography, via the production of hardcopy and digital maps with appropriate layout and information."
Domain Applications,Forestry,Forestry,"Design a system for creating a given target spatial data layer, including end user needs assessment, geographic and attribute data characteristic and accuracy specifications, collection, quality control, and processing protocols, workflows, accuracy assessment and documentation, and metadata development."
Domain Applications,Forestry,Forestry,"Digitize features from high-resolution (sub-meter or better) digital color infrared aerial images, and identify the regionally important stand types and non-forest vegetation and landcover types.  Apply basic and intermediate vector editing techniques, including point and stream-mode digitizing, polygon auto-completion, selecting, clipping, and merging polygons, and splining and smoothing. The students can create topologically correct vector line and polygon layers, enforcing completeness and planarity as necessary in the data they create, and perform basic attribute table creation and manipulation."
Domain Applications,Forestry,Forestry,Evaluate spatial data processing workflows to verify each meets the specific information needs common in forest resource management.
Domain Applications,Forestry,Forestry,"Identify the primary Cartesian coordinate systems used in their region of interest, and the difference and projection from geographic to Cartesian systems. Estimate surface distances between points in either type of system."
Domain Applications,Forestry,Forestry,"Identify, download, prepare, and interpret public data sources relevant to forestry, including USDA Agricultural Research Service National Aerial Imagery Program aerial photographs, NRCS SSURGO soils data, USGS digital elevation data, USDA National Agricultural Service Crop Data Layer data, USFWS National Wetlands Inventory data, and USGS National Hydrography Dataset streams, rivers, and lakes data."
Domain Applications,Forestry,Forestry,"Integrate basic, short distance plane surveying with GNSS to calculate coordinate locations, and establish points, lines, and polygons, and calculate areas. Demonstrate proficiency in basic angle measurements using handheld, staff, tripod, or electronic compass, and distance measurement with a chain, tape, or laser rangefinder."
Domain Applications,Forestry,Forestry,"Understand, explain, and perform adjacency and proximity analysis, for example, identify all lands within 100 feet of perennial streams, or all forest stands adjacent to existing forest stands less than five years old."
Domain Applications,Forestry,Forestry,"Understand, explain, and perform spatial and table selection, e.g., select all vegetation patches that are entirely underlain by erodible soils, or select all forest stands older than 80 years and more than 2000 feet from a road."
Domain Applications,Geodesign,Geodesign,Define geodesign and describe how it contributes to GIS&T.
Domain Applications,Geodesign,Geodesign,Describe the four essential groups of people that are needed for a collaborative geodesign project.
