Competency,Topic,Sub-topic,Level,learning_objective
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",6. Plot a spherical coordinate on a map without the aid of a computer,Foundational (F),"Define how to manually plot various types of coordinates (e.g., spherical, planar) on a map without the aid of a computer."
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",7. Plot a planar coordinate on a map without the aid of a computer,Foundational (F),
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","8. Convert a coordinate from decimal degrees to degrees, minutes, and seconds and vice versa",Foundational (F),"Summarize the relationship between decimal degrees, degrees, minutes, and seconds."
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","8. Convert a coordinate from decimal degrees to degrees, minutes, and seconds and vice versa",Foundational (F),"Summarize how to convert a coordinate from decimal degrees to degrees, minutes, and seconds and vice versa."
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",9. List and describe the three major components of a GPS systems,Foundational (F),Identify the major components of a Global Positioning System (GPS) and explain how each are used.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",10. Describe the three fundamental styles of map projection,Foundational (F),List the three fundamental styles of map projection and explain how each style is utilized.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","11. List the primary defining features of a cylindrical, conical, and azimuthal projection",Foundational (F),"List the primary defining features of a cylindrical, conical, and azimuthal projection."
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","12. Describe what is meant by ""unprojected"" map data",Foundational (F),Summarize what “unprojected” map data is and how it is used in georeferencing and positioning.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",13. Describe address georeferencing/geocoding,Foundational (F),Summarize the principle of address georeferencing and geocoding.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",14. Differentiate between georeferencing and orthorectification of imagery,Foundational (F),Summarize the similarities and differences between georeferencing and orthorectification of an image.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",1. Choose the appropriate coordinate system and projection based upon use (planar for engineering solutions and targeting vs web auxiliary Mercator for web view),Application (A),Determine which coordinate system and projection is most appropriate to use given the end use of a map.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",2. Estimate the error associated with converting among planar and spherical coordinates,Application (A),Determine how much error occurs when converting planar coordinates to spherical coordinates.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",2. Estimate the error associated with converting among planar and spherical coordinates,Application (A),Determine how much error occurs when converting spherical coordinates to planar coordinates.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",3. Describe the effects of gravity and the Earth's magnetic field upon coordinate measurement,Application (A),Characterize how gravity and the Earth’s magnetic field effect coordinate measurement.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",4. List the major wavelength/information carrier bands associated with Global Positioning System (GPS) and describe their purpose,Application (A),Categorize the major wavelength and information carrier bands associated with Global Positioning System (GPS) and describe their purpose.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",5. Describe the relationship between positioning error and number of visible satellites in a Global Positioning System (GPS) constellation,Application (A),Characterize the relationship between positioning error and the number of visible satellites in a Global Positioning System (GPS) constellation.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","6. Define the term ""lag"" as it pertains to the transmission and receiving time for Global Positioning System (GPS) signals and list common causal factors",Application (A),Distinguish how “lag” relates to the transmission and receiving time of Global Positioning System (GPS) signals.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","6. Define the term ""lag"" as it pertains to the transmission and receiving time for Global Positioning System (GPS) signals and list common causal factors",Application (A),Compare/Contrast causal factors that may inhibit the transmission and reception time of Global Positioning System (GPS) signals.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","7. List the major Global Positioning System (GPS) constellation for the USA, Europe, Russia, and China",Application (A),"Organize the major Global Positioning System (GPS) constellation in order of importance for the United States, Europe, Russia, and China."
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",8. List the factors required for georeferencing imagery and potential sources of error in the georeferencing process,Application (A),Characterize factors required for georeferencing imagery and summarize the potential sources of error in the georeferencing process.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",9. List the factors required for orthorectifying imagery and the potential sources of error in the orthorectification process,Application (A),Characterize factors required for orthorectifying imagery and summarize the potential sources of error in the orthorectification process.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",10. Define vertical and horizontal control and describe how they are assessed/referenced,Application (A),Compare/Contrast vertical and horizontal control and how they are assessed and referenced.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","11. State the precision of measure and absolute accuracy for un-corrected hand-held Global Positioning System (GPS), differential GPS used for navigation, and Real Time Kinematic (RTK) GPS used for surveying",Application (A),"Differentiate the precision of measure and absolute accuracy for the following: un-corrected hand-held Global Positioning System (GPS), differential GPS used for navigation, and Real Time Kinematic (RTK) GPS used for surveying"
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning",12. Describe the relationship between Global Positioning System (GPS) accuracy and time spent occupying a point,Application (A),Characterize the relationship between Global Positioning System (GPS) accuracy and the time spent occupying a point.
GIS & ANALYSIS TOOLS,"T3. Fundamentals of Geodesic Science, Geographically Referencing Spatial Information, and Positioning","13. Define the term ""epoch"" as it relates to Global Positioning System (GPS)",Application (A),Interpret how “epoch” relates to Global Positioning System (GPS).
